FCode,sum_length,n_segments,sum_length_km,siteID
33600,42012738.87724609,261,42012.73887724609,DSNY
55800,18672328.38988715,116,18672.32838988715,DSNY
46006,3219366.963773647,20,3219.366963773647,DSNY
46003,321936.6963773647,2,321.9366963773647,DSNY
33400,160968.34818868234,1,160.96834818868234,DSNY
