FCode,sum_length,n_segments,sum_length_km,siteID,huc2
46003,10535721.349755703,94,10535.721349755702,SCBI,WBD_02_HU2
46006,8966571.361494215,80,8966.571361494216,SCBI,WBD_02_HU2
55800,4819532.106803141,43,4819.532106803141,SCBI,WBD_02_HU2
33400,224164.2840373554,2,224.1642840373554,SCBI,WBD_02_HU2
