FCode,sum_length,n_segments,sum_length_km,siteID
46003,728241.7475585393,21,728.2417475585393,MLBS
46006,381459.9630068539,11,381.45996300685385,MLBS
55800,34678.178455168534,1,34.678178455168535,MLBS
