FCode,sum_length,n_segments,sum_length_km,siteID,huc2
46003,2735424949.976879,2834,2735424.949976879,WREF,WBD_17_HU2
46006,719086657.6333009,745,719086.6576333009,WREF,WBD_17_HU2
46007,160226020.358561,166,160226.020358561,WREF,WBD_17_HU2
55800,134165161.62554204,139,134165.16162554204,WREF,WBD_17_HU2
