FCode,sum_length,n_segments,sum_length_km,siteID
55800,30868627.53736813,170,30868.62753736813,LENO
46006,13800092.3108234,76,13800.0923108234,LENO
46003,9623748.585179476,53,9623.748585179475,LENO
