FCode,sum_length,n_segments,sum_length_km,siteID,huc2
46006,162227175.68924275,438,162227.17568924275,OAES,WBD_11_HU2
55800,90002748.1563607,243,90002.7481563607,OAES,WBD_11_HU2
46003,70742900.81425881,191,70742.90081425881,OAES,WBD_11_HU2
33400,370381.67965580535,1,370.38167965580533,OAES,WBD_11_HU2
42801,370381.67965580535,1,370.38167965580533,OAES,WBD_11_HU2
