FCode,sum_length,n_segments,sum_length_km,siteID,huc2
46003,204481091.2663512,576,204481.0912663512,ABBY,WBD_17_HU2
46006,132415706.67074478,373,132415.70667074478,ABBY,WBD_17_HU2
55800,14555077.676945137,41,14555.077676945137,ABBY,WBD_17_HU2
