FCode,sum_length,n_segments,sum_length_km,siteID
55800,2272289.690696944,25,2272.289690696944,JERC
46003,1908723.340185433,21,1908.723340185433,JERC
46006,636241.1133951443,7,636.2411133951443,JERC
