FCode,sum_length,n_segments,sum_length_km,siteID
46003,27375448.269634034,158,27375.448269634035,TALL
46006,11262051.503330458,65,11262.051503330458,TALL
55800,1212836.31574328,7,1212.83631574328,TALL
