FCode,sum_length,n_segments,sum_length_km,siteID
46003,10535721.349755703,94,10535.721349755702,POSE
46006,8966571.361494215,80,8966.571361494216,POSE
55800,4819532.106803141,43,4819.532106803141,POSE
33400,224164.2840373554,2,224.1642840373554,POSE
