FCode,sum_length,n_segments,sum_length_km,siteID,huc2
46003,1049371103.4899116,1698,1049371.1034899116,MART,WBD_17_HU2
46006,293551987.13645935,475,293551.9871364593,MART,WBD_17_HU2
55800,80958548.03131826,131,80958.54803131826,MART,WBD_17_HU2
46007,58092393.2438467,94,58092.3932438467,MART,WBD_17_HU2
