FCode,sum_length,n_segments,sum_length_km,siteID,huc2
46003,1661.5425305008207,1,1.6615425305008207,LIRO,WBD_07_HU2
55800,1661.5425305008207,1,1.6615425305008207,LIRO,WBD_07_HU2
