FCode,sum_length,n_segments,sum_length_km,siteID
46006,685094.8941521519,29,685.0948941521519,HOPB
46003,448855.27547899605,19,448.855275478996,HOPB
55800,259863.5805404714,11,259.8635805404714,HOPB
