FCode,sum_length,n_segments,sum_length_km,siteID
55800,7401132.447520415,83,7401.132447520416,CRAM
46003,5439386.497575245,61,5439.386497575245,CRAM
46006,5350216.227123192,60,5350.216227123192,CRAM
33400,178340.5409041064,2,178.3405409041064,CRAM
