FCode,sum_length,n_segments,sum_length_km,siteID
55800,1162913.254805633,21,1162.9132548056332,FLNT
46003,387637.7516018777,7,387.63775160187765,FLNT
46006,221507.2866296444,4,221.5072866296444,FLNT
