FCode,sum_area,n_bodies,sum_area_km2,check_m2,siteID,huc2
46600,46632833.20843247,369,46.63283320843247,m2,DSNY,WBD_03_HU2
39009,4880202.339989052,2,4.880202339989052,m2,DSNY,WBD_03_HU2
43600,843550.5296268936,68,0.8435505296268936,m2,DSNY,WBD_03_HU2
43603,490050.0748916065,31,0.4900500748916065,m2,DSNY,WBD_03_HU2
39004,97380.26836339312,5,0.09738026836339311,m2,DSNY,WBD_03_HU2
39001,5996.924962131074,1,0.005996924962131073,m2,DSNY,WBD_03_HU2
43612,3405.805838425253,11,0.0034058058384252533,m2,DSNY,WBD_03_HU2
