FCode,sum_area,n_bodies,sum_area_km2,check_m2,siteID,huc2
46600,24669606.122124717,158,24.669606122124716,m2,OSBS,WBD_03_HU2
39004,7505183.607394791,86,7.505183607394791,m2,OSBS,WBD_03_HU2
39009,4480101.011203695,17,4.480101011203695,m2,OSBS,WBD_03_HU2
39000,318432.9626859374,5,0.3184329626859374,m2,OSBS,WBD_03_HU2
39001,310137.2092674405,17,0.3101372092674405,m2,OSBS,WBD_03_HU2
43600,162651.82207443746,36,0.16265182207443746,m2,OSBS,WBD_03_HU2
39006,35071.133044201415,3,0.03507113304420142,m2,OSBS,WBD_03_HU2
43614,3592.1192867614445,3,0.0035921192867614444,m2,OSBS,WBD_03_HU2
