FCode,sum_area,n_bodies,sum_area_km2,check_m2,siteID,huc2
39004,3634791.080584478,1473,3.634791080584478,m2,BLUE,WBD_11_HU2
39011,552545.6005480881,94,0.5525456005480881,m2,BLUE,WBD_11_HU2
43600,307771.8954511287,61,0.3077718954511287,m2,BLUE,WBD_11_HU2
39009,249407.9841865621,7,0.2494079841865621,m2,BLUE,WBD_11_HU2
43601,130273.10320194671,21,0.1302731032019467,m2,BLUE,WBD_11_HU2
39001,34225.61853445676,29,0.034225618534456756,m2,BLUE,WBD_11_HU2
39006,7429.845583663089,5,0.007429845583663089,m2,BLUE,WBD_11_HU2
