FCode,sum_area,n_bodies,sum_area_km2,check_m2,siteID,huc2
39011,1015.1321263397112,1,0.0010151321263397112,m2,GUIL,WBD_21_HU2
43611,620.7942955148173,1,6.207942955148174e-4,m2,GUIL,WBD_21_HU2
