FCode,sum_area,n_bodies,sum_area_km2,check_m2,siteID,huc2
39004,333272.1665930424,44,0.3332721665930424,m2,NOGP,WBD_10_HU2
46600,157565.4990683794,2,0.1575654990683794,m2,NOGP,WBD_10_HU2
39009,88512.87050516065,1,0.08851287050516066,m2,NOGP,WBD_10_HU2
