FCode,sum_area,n_bodies,sum_area_km2,check_m2,siteID,huc2
39001,142683.25201047366,7,0.14268325201047366,m2,JORN,WBD_13_HU2
36100,103682.85518532195,2,0.10368285518532196,m2,JORN,WBD_13_HU2
39004,631.7455005757511,2,6.317455005757511e-4,m2,JORN,WBD_13_HU2
