objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID,huc2
6,{8D779E31-2B54-43B1-9539-B8303F1EB345},NA,NA,NA,NA,2016-07-26,NA,410485.89,1661.18,PR,21010003,Culebrinas-Guanajibo,2.34511851731,0.141907948197,LAJA,WBD_21_HU2
7,{A2969160-19B9-4EEC-B20D-B0251DA87E28},NA,NA,NA,NA,2016-07-26,NA,863352.65,3493.87,PR,21010004,Southern Puerto Rico,3.9178139109,0.298069093625,LAJA,WBD_21_HU2
