objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID
15,{4C042998-AA2A-4451-9A93-A76BDF853674},NA,NA,NA,NA,2018-09-25,NA,2256168.44,9130.4,CA,18040001,Middle San Joaquin-Lower Chowchilla,8.64774394467,0.925578532502,SJER
73,{1152FEB0-A809-4CE9-8648-8AD6AD428FD6},NA,NA,NA,NA,2012-06-11,NA,414638.04,1677.98,CA,18040007,Fresno River,3.22653151527,0.170199352332,SJER
118,{CC0D7806-E01E-46FD-8DFE-6855FA4B57BB},NA,NA,NA,NA,2018-04-23,NA,1048806.93,4244.37,CA,18040006,Upper San Joaquin,4.23303018123,0.431557927733,SJER
