objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID
180,{2C85396F-982B-47E5-BD35-125F2394511A},NA,NA,NA,NA,2012-06-11,NA,1909004.83,7725.48,"CO,NE",10190012,Middle South Platte-Sterling,9.67798545772,0.821297099812,STER
184,{4C175C6C-2F62-47C7-AB9E-48288706450D},NA,NA,NA,NA,2012-06-11,NA,1887126.21,7636.94,"CO,KS,NE",10250002,North Fork Republican,6.83022049904,0.807314954562,STER
288,{C28B5C74-DA7B-4B55-BAA6-BA2F61DFBB10},NA,NA,NA,NA,2020-06-04,NA,1054180.44,4266.12,"CO,NE",10250005,Frenchman,6.63228559413,0.453265284874,STER
