objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID,huc2
32,{0A3C889E-733C-4AC2-BAED-ADF1BC6E914C},NA,NA,NA,NA,2017-08-25,NA,672486.8,2721.46,WA,17080002,Lewis,4.0317360657,0.316191414416,ABBY,WBD_17_HU2
219,{A7691A17-1733-4E62-B22B-842891ECCD1E},NA,NA,NA,NA,2020-06-04,NA,559530.73,2264.34,"OR,WA",17080001,Lower Columbia-Sandy,3.08757350028,0.260647687323,ABBY,WBD_17_HU2
225,{094A0FE0-A2A8-40B0-8D80-3B57F9F2BF36},NA,NA,NA,NA,2020-06-14,NA,732598.14,2964.72,"OR,WA",17080003,Lower Columbia-Clatskanie,6.24261109084,0.34458106551,ABBY,WBD_17_HU2
