objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID
5,{F51CF031-9EB1-4A08-A10F-A3BD4E159199},NA,NA,NA,NA,2016-07-26,NA,781263.4,3161.66,PR,21010002,Cibuco-Guajataca,3.40764781295,0.270300891507,GUIL
6,{8D779E31-2B54-43B1-9539-B8303F1EB345},NA,NA,NA,NA,2016-07-26,NA,410485.89,1661.18,PR,21010003,Culebrinas-Guanajibo,2.34511851731,0.141907948197,GUIL
7,{A2969160-19B9-4EEC-B20D-B0251DA87E28},NA,NA,NA,NA,2016-07-26,NA,863352.65,3493.87,PR,21010004,Southern Puerto Rico,3.9178139109,0.298069093625,GUIL
