objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID
43,{48E436C6-963C-4000-BFE5-0A187613FDC5},NA,NA,NA,NA,2012-06-11,NA,1617195.67,6544.56,ND,10130101,Painted Woods-Square Butte,7.14080756104,0.778754049169,NOGP
46,{A253BE6B-B91D-4C0F-8B77-E93751393F2D},NA,NA,NA,NA,2012-06-11,NA,1045198.82,4229.77,ND,10130203,Lower Heart,5.46004114443,0.497706281855,NOGP
285,{C239D7FB-3E34-4E32-BD8D-4F68B441C7A7},NA,NA,NA,NA,2020-06-04,NA,2327262.16,9418.1,"ND,SD",10130102,Upper Lake Oahe,11.7293885363,1.09384295117,NOGP
