objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID,huc2
32,{0A3C889E-733C-4AC2-BAED-ADF1BC6E914C},NA,NA,NA,NA,2017-08-25,NA,672486.8,2721.46,WA,17080002,Lewis,4.0317360657,0.316191414416,WREF,WBD_17_HU2
218,{BEDDC5F0-D5EE-419C-B80F-2B2DD5C9C23F},NA,NA,NA,NA,2020-06-04,NA,1381072.51,5589.01,"OR,WA",17070105,Middle Columbia-Hood,5.74506114169,0.645561160682,WREF,WBD_17_HU2
219,{A7691A17-1733-4E62-B22B-842891ECCD1E},NA,NA,NA,NA,2020-06-04,NA,559530.73,2264.34,"OR,WA",17080001,Lower Columbia-Sandy,3.08757350028,0.260647687323,WREF,WBD_17_HU2
