objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID
11,{C9D75D0D-34F2-465F-AC19-067838ED7FBA},NA,NA,NA,NA,2016-05-21,NA,996348.3,4032.08,VA,02080103,Rapidan-Upper Rappahannock,3.71706332698,0.416420358171,POSE
35,{3412E07E-0EFC-430D-B374-3C0DEE9596C2},NA,NA,NA,NA,2012-06-11,NA,1070027.63,4330.25,"VA,WV",02070005,South Fork Shenandoah,5.0804009243,0.446430281328,POSE
48,{CACA7270-67C0-44DA-9482-8C992394BF55},NA,NA,NA,NA,2016-05-10,NA,225173.75,911.25,"MD,VA,WV",02070007,Shenandoah,1.98785537018,0.0949001191885,POSE
