objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,shape_Leng,shape_Area,neon_siteID
9,{CFA29FEF-D61C-4745-B3AC-2134C6559723},NA,NA,NA,NA,2012-06-11,NA,509789.07,2063.04,"NC,TN",06010107,Lower French Broad,3.34592583449,0.205895227401,LECO
20,{56DD4271-E342-4980-B07C-376CE46DD023},NA,NA,NA,NA,2020-06-04,NA,469653.96,1900.62,"NC,TN",06010203,Tuckasegee,2.63910867391,0.188589631809,LECO
31,{930713FB-40AD-4975-A438-83E759C41013},NA,NA,NA,NA,2021-02-01,NA,866324.23,3505.89,"NC,TN",06010201,Watts Bar Lake,6.17906256799,0.349431673761,LECO
