FCode,sum_length,n_segments,sum_length_km,check_m,siteID,huc2
46006,81880.6917023242,72,81.8806917023242,m,STEI,WBD_07_HU2
55800,21942.13681022445,51,21.942136810224447,m,STEI,WBD_07_HU2
46003,4842.621753334901,3,4.8426217533349005,m,STEI,WBD_07_HU2
