FCode,sum_length,n_segments,sum_length_km,check_m,siteID,huc2
46007,256512.28893533998,157,256.51228893534,m,ONAQ,WBD_16_HU2
46003,20519.146647855327,19,20.519146647855326,m,ONAQ,WBD_16_HU2
42807,10871.509408370868,4,10.871509408370867,m,ONAQ,WBD_16_HU2
33400,4710.864975761082,15,4.710864975761082,m,ONAQ,WBD_16_HU2
46006,3724.677086350564,6,3.724677086350564,m,ONAQ,WBD_16_HU2
33600,2126.422227719693,2,2.126422227719693,m,ONAQ,WBD_16_HU2
55800,1808.5256781943287,15,1.8085256781943289,m,ONAQ,WBD_16_HU2
