FCode,sum_length,n_segments,sum_length_km,check_m,siteID,huc2
46003,87631.76620067569,84,87.63176620067568,m,GUAN,WBD_21_HU2
46006,37850.70881811986,28,37.85070881811986,m,GUAN,WBD_21_HU2
56600,26173.289386255845,26,26.173289386255846,m,GUAN,WBD_21_HU2
33600,11729.361324140022,11,11.729361324140022,m,GUAN,WBD_21_HU2
55800,802.5624571600441,7,0.8025624571600442,m,GUAN,WBD_21_HU2
42803,498.17823280347454,1,0.49817823280347456,m,GUAN,WBD_21_HU2
42813,62.06275518220867,2,0.06206275518220867,m,GUAN,WBD_21_HU2
