FCode,sum_length,n_segments,sum_length_km,check_m,siteID,huc2
55800,2181.3519265760865,7,2.1813519265760863,m,UNDE,WBD_07_HU2
46006,1898.8957644753773,4,1.8988957644753772,m,UNDE,WBD_07_HU2
