FCode,sum_length,n_segments,sum_length_km,check_m,siteID,huc2
46003,139890.55147062434,150,139.89055147062433,m,ARIK,WBD_10_HU2
46006,15951.706412442356,64,15.951706412442356,m,ARIK,WBD_10_HU2
55800,5441.957525888566,36,5.441957525888566,m,ARIK,WBD_10_HU2
33400,1999.858050003681,7,1.999858050003681,m,ARIK,WBD_10_HU2
