OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,area_m2
1978,41378651,2002-05-17,2,01490991,Lake Front Royal,0.034,295.7,02070005000630,390,39009,500000,0.00821866356674,3.53752237343e-6,34078.397160737775
2617,4c951154-1027-4976-b63b-994a8b9ba085,2011-12-19,2,NA,NA,0.017,0,02080103009073,390,39004,100000,0.00597464340214,1.75249235901e-6,16890.817782175538
1324,41378439,2002-05-17,2,NA,NA,0.013,0,02070005000627,390,39004,100000,0.00499548101037,1.36286286025e-6,13122.164570267778
